trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_038.trj,3243.60,4.99,-338.42,0.00,0.00,0.00,2.04,0.93,-0.87,-0.87,0.53,-16.69,6:33,rear end,1.68,79.13,1425,5,2,4.01,1.85,90.60,1.24,0.53,4.99,-338.42,4.99,-338.42,1435,5,2,4.76,2.07,73.91,2.04,0.40,6.03,-342.98,6.03,-342.98,1.00,99.00,99.00,
left turn real_038.trj,3244.60,4.87,-326.81,0.00,0.00,0.00,0.61,0.61,0.67,0.67,0.35,-27.65,6:55,rear end,0.26,62.95,1421,5,2,4.76,2.07,90.60,0.00,0.26,4.87,-326.81,4.87,-326.81,1423,5,2,4.01,1.85,62.95,0.61,0.35,5.75,-331.28,5.75,-331.28,1.00,99.00,99.00,
left turn real_038.trj,3246.00,4.87,-326.81,0.00,0.00,0.00,4.09,4.09,2.61,2.61,2.33,-24.85,6:50,rear end,1.76,65.75,1421,5,2,4.76,2.07,90.60,0.00,1.76,4.87,-326.81,4.87,-326.81,1423,5,1,4.01,1.85,65.75,4.09,2.33,7.37,-328.21,7.37,-328.21,1.00,99.00,99.00,
left turn real_038.trj,3294.40,8.07,-298.79,0.00,0.00,0.00,8.32,4.76,1.95,1.95,2.46,-11.73,6:23,rear end,5.67,82.53,1454,5,1,4.61,1.95,90.60,3.45,2.31,8.07,-298.79,8.07,-298.79,1456,10005,1,4.21,2.00,78.87,8.09,2.46,8.95,-302.90,8.95,-302.90,1.00,99.00,99.00,
left turn real_038.trj,3294.80,4.72,-312.62,0.00,0.00,0.00,0.49,0.49,-0.25,-0.25,0.24,-22.35,6:45,rear end,0.24,68.25,1452,5,2,4.21,2.00,90.60,0.00,0.24,4.72,-312.62,4.72,-312.62,1455,5,2,4.21,2.00,68.25,0.49,0.24,5.47,-317.01,5.47,-317.01,1.00,99.00,99.00,
left turn real_038.trj,3314.60,-3.51,-264.35,0.00,0.00,0.00,12.46,12.46,-0.26,-0.26,6.71,-6.91,6:14,rear end,6.71,262.08,1464,1,1,4.21,2.00,269.00,0.00,6.71,-3.51,-264.35,-3.51,-264.35,1465,10007,1,4.76,2.07,262.08,12.46,5.75,-4.17,-259.97,-4.17,-259.97,1.00,99.00,99.00,
left turn real_038.trj,3329.40,-3.51,-264.35,0.00,0.00,0.00,12.28,12.28,-0.23,-0.23,6.14,-6.63,6:13,rear end,6.14,262.37,1464,1,1,4.21,2.00,269.00,0.00,6.14,-3.51,-264.35,-3.51,-264.35,1470,10007,1,4.21,2.00,262.37,12.28,6.14,-4.14,-260.03,-4.14,-260.03,1.00,99.00,99.00,
left turn real_038.trj,3359.00,0.00,-238.39,0.00,0.00,0.00,2.12,2.12,1.23,1.23,1.06,-23.93,6:48,rear end,1.06,246.00,1476,1,2,4.21,2.00,269.93,0.00,1.06,0.00,-238.39,0.00,-238.39,1480,1,2,4.21,2.00,246.00,2.12,1.06,-1.14,-234.17,-1.14,-234.17,1.00,99.00,99.00,
left turn real_038.trj,3367.00,8.51,-340.13,0.00,0.00,0.00,0.87,0.87,-0.53,-0.53,0.44,22.37,5:15,rear end,0.44,112.98,1481,5,1,4.61,1.95,90.60,0.00,0.44,8.51,-340.13,8.51,-340.13,1483,5,1,4.61,1.95,112.98,0.87,0.44,7.68,-344.92,7.68,-344.92,1.00,99.00,99.00,
left turn real_038.trj,3398.60,-3.46,-205.92,0.00,0.00,0.00,3.16,2.96,-1.80,-1.80,1.62,15.60,5:29,rear end,1.82,284.72,1506,1,1,4.01,1.85,269.93,0.21,1.62,-3.46,-205.92,-3.46,-205.92,1508,1,1,4.61,1.95,285.53,3.16,1.34,-2.18,-201.57,-2.18,-201.57,1.00,99.00,99.00,
left turn real_038.trj,3407.20,3.73,-288.76,0.00,0.00,0.00,7.27,7.27,0.00,0.00,3.97,-13.96,6:28,rear end,3.97,90.60,1495,10004,1,3.75,1.99,104.57,0.00,3.97,3.73,-288.76,3.73,-288.76,1502,10000,2,4.61,1.95,90.60,7.27,3.29,4.51,-292.91,4.51,-292.91,1.00,99.00,99.00,
left turn real_038.trj,3408.40,-0.04,-272.23,0.00,0.00,0.00,7.52,5.64,-1.13,-1.13,3.08,-10.75,6:22,rear end,2.80,259.70,1489,10006,1,4.61,1.95,269.93,0.25,2.56,-0.04,-272.23,-0.04,-272.23,1496,1,2,3.75,1.99,259.18,5.89,3.08,-1.46,-267.98,-1.46,-267.98,1.00,99.00,99.00,
left turn real_038.trj,3426.00,-3.53,-264.42,0.00,0.00,0.00,11.79,11.43,0.18,0.18,5.72,-10.40,6:21,rear end,6.05,259.81,1519,1,1,4.01,1.85,269.93,0.33,5.72,-3.53,-264.42,-3.53,-264.42,1520,10007,1,3.75,1.99,259.53,11.76,5.71,-4.37,-260.83,-4.37,-260.83,1.00,99.00,99.00,
left turn real_038.trj,3436.80,-3.53,-264.57,0.00,0.00,0.00,11.45,11.45,-0.06,-0.06,6.36,-14.39,6:29,rear end,6.36,255.54,1519,1,1,4.01,1.85,269.93,0.00,6.36,-3.53,-264.57,-3.53,-264.57,1524,10007,1,4.64,2.00,255.54,11.45,5.09,-4.88,-262.26,-4.88,-262.26,1.00,99.00,99.00,
left turn real_038.trj,3504.80,3.88,-289.16,0.00,0.00,0.00,6.42,1.51,2.12,2.12,0.78,-11.96,6:24,rear end,0.78,90.60,1509,10004,1,4.36,1.97,102.56,0.00,0.78,3.88,-289.16,3.88,-289.16,1513,5,2,4.64,2.00,90.60,1.51,0.72,4.52,-293.74,4.52,-293.74,1.00,99.00,99.00,
left turn real_038.trj,3508.40,-0.04,-272.55,0.00,0.00,0.00,5.19,2.69,1.79,1.79,1.43,-21.74,6:43,rear end,1.26,248.19,1521,10006,1,4.21,2.00,269.93,0.00,1.26,-0.04,-272.55,-0.04,-272.55,1523,1,2,3.75,1.99,248.19,2.69,1.43,-1.25,-268.54,-1.25,-268.54,1.00,99.00,99.00,
left turn real_038.trj,3516.60,4.58,-299.42,0.00,0.00,0.00,0.57,0.57,0.61,0.61,0.28,-26.63,6:53,rear end,0.28,63.97,1525,5,2,4.61,1.95,90.60,0.00,0.28,4.58,-299.42,4.58,-299.42,1533,5,2,4.61,1.95,63.97,0.57,0.28,5.42,-304.10,5.42,-304.10,1.00,99.00,99.00,
left turn real_038.trj,3522.40,0.03,-215.83,0.00,0.00,0.00,2.15,1.64,-3.79,-3.79,0.82,-17.36,6:35,rear end,1.34,256.08,1563,1,2,4.61,1.95,269.93,0.55,0.82,0.03,-215.83,0.03,-215.83,1565,1,2,4.61,1.95,252.57,2.15,0.82,-1.19,-211.20,-1.19,-211.20,1.00,99.00,99.00,
