trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_036.trj,342.60,4.88,-328.33,0.00,0.90,0.80,7.17,5.76,-1.02,-3.69,2.97,0.00,5:59,rear end,4.20,90.60,158,5,2,4.61,1.95,90.60,1.41,2.79,4.89,-328.65,4.88,-327.59,159,5,2,4.21,2.00,90.60,7.17,2.97,5.04,-343.54,4.93,-332.70,1.00,99.00,99.00,
left turn real_036.trj,353.00,4.90,-329.34,0.00,0.00,0.00,6.53,6.53,-2.18,-2.93,3.47,-8.40,6:17,rear end,3.06,82.20,159,5,2,4.21,2.00,90.60,0.00,3.06,4.90,-329.34,4.90,-329.34,163,5,2,3.75,1.99,82.20,6.53,3.47,5.03,-342.53,6.29,-333.37,1.00,99.00,99.00,
left turn real_036.trj,362.00,4.90,-329.34,0.00,0.00,0.00,7.06,7.06,-1.75,-3.11,3.75,-7.72,6:15,rear end,3.31,82.88,159,5,2,4.21,2.00,90.60,0.00,3.31,4.90,-329.34,4.90,-329.34,167,5,2,3.75,1.99,82.88,7.06,3.75,5.05,-343.87,6.36,-333.39,1.00,99.00,99.00,
left turn real_036.trj,368.60,8.13,-304.15,0.00,0.00,0.00,7.63,5.11,-1.85,-3.19,2.71,0.00,6:00,rear end,5.04,90.58,167,5,1,3.75,1.99,90.58,2.33,2.71,8.15,-306.02,8.13,-304.15,169,5,1,4.21,2.00,90.58,7.44,2.39,8.29,-319.19,8.17,-307.60,1.00,99.00,99.00,
left turn real_036.trj,369.20,8.08,-299.60,0.00,0.00,0.00,8.03,4.38,0.93,0.93,2.21,-4.34,6:09,rear end,2.17,86.26,165,5,1,4.36,1.97,90.60,0.00,2.17,8.08,-299.60,8.08,-299.60,169,5,1,4.21,2.00,86.26,4.38,2.21,8.20,-310.54,8.63,-303.98,1.00,99.00,99.00,
left turn real_036.trj,377.20,4.90,-329.34,0.00,0.00,0.00,6.10,6.10,-1.96,-2.71,3.05,-8.84,6:18,rear end,3.05,81.76,159,5,2,4.21,2.00,90.60,0.00,3.05,4.90,-329.34,4.90,-329.34,172,5,2,4.21,2.00,81.76,6.10,3.05,5.03,-342.44,6.31,-333.61,1.00,99.00,99.00,
left turn real_036.trj,426.40,4.69,-309.54,0.00,1.40,3.60,0.71,0.71,-0.91,-0.91,0.38,0.00,5:59,rear end,0.38,90.60,155,5,2,4.01,1.85,90.60,0.00,0.38,4.69,-309.54,4.68,-308.76,156,5,2,4.21,2.00,90.60,0.71,0.33,4.74,-314.58,4.73,-313.65,1.00,99.00,99.00,
left turn real_036.trj,425.60,4.76,-316.31,0.00,1.10,1.40,1.92,0.48,-1.83,-7.74,0.25,0.00,6:00,rear end,1.67,90.60,156,5,2,4.21,2.00,90.60,1.92,0.25,4.76,-316.31,4.73,-313.35,158,5,2,4.61,1.95,90.60,1.44,0.23,4.83,-322.68,4.78,-318.42,1.00,99.00,99.00,
left turn real_036.trj,432.40,0.03,-213.53,0.00,1.40,3.20,1.25,0.97,-5.08,-5.08,0.53,0.00,6:00,rear end,0.81,269.93,199,1,2,3.75,1.99,269.93,0.28,0.53,0.03,-213.53,0.03,-215.62,202,1,2,4.61,1.95,269.93,1.25,0.44,0.04,-208.08,0.04,-209.44,1.00,99.00,99.00,
left turn real_036.trj,435.00,-0.04,-272.51,0.00,0.00,0.00,5.45,1.51,2.51,2.51,0.86,-24.30,6:49,rear end,0.65,245.63,149,10006,1,4.76,2.07,269.93,0.00,0.65,-0.04,-272.51,-0.04,-272.51,162,1,2,4.01,1.85,245.63,1.51,0.86,-0.59,-266.72,-1.22,-268.11,1.00,99.00,99.00,
