trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,703.20,1.45,-285.15,0.00,0.00,0.00,8.47,13.95,2.07,2.07,7.29,148.02,1:04,crossing,2.03,205.92,276,10004,1,4.61,1.95,122.19,7.23,7.29,1.45,-285.15,1.45,-285.15,286,10001,2,4.76,2.07,270.21,7.28,6.66,-0.01,-281.33,-0.01,-281.33,1.00,99.00,99.00,
left turn real_002.trj,705.40,2.09,-286.02,0.00,0.00,0.00,10.03,14.39,1.87,1.87,7.75,151.99,12:56,crossing,2.18,230.61,279,10004,1,4.76,2.07,118.23,5.50,6.64,2.09,-286.02,2.09,-286.02,294,10001,2,4.21,2.00,270.22,9.30,7.75,0.00,-283.51,0.00,-283.51,1.00,99.00,99.00,
left turn real_002.trj,706.60,-3.93,-281.60,0.00,0.00,0.00,10.16,14.28,1.85,1.85,7.35,117.42,2:05,crossing,4.37,221.19,279,10004,1,4.76,2.07,152.76,7.22,6.93,-3.93,-281.60,-3.93,-281.60,296,10001,1,4.64,2.00,270.17,9.44,7.35,-3.52,-278.37,-3.52,-278.37,1.00,99.00,99.00,
left turn real_002.trj,716.80,0.01,-235.96,0.00,0.00,0.00,7.19,3.80,-0.12,-0.12,1.90,-8.81,6:18,rear end,5.31,263.98,324,1,2,4.76,2.07,269.93,3.47,1.90,0.01,-235.96,0.01,-235.96,329,1,1,4.76,2.07,261.12,7.19,1.90,-1.64,-231.19,-1.64,-231.19,1.00,99.00,99.00,
left turn real_002.trj,716.40,-0.03,-265.95,0.00,0.00,0.00,6.03,4.23,2.95,2.95,2.13,-18.88,6:38,rear end,2.22,251.43,317,1,2,4.21,2.00,269.93,0.09,2.13,-0.03,-265.95,-0.03,-265.95,320,1,1,4.36,1.97,251.05,4.32,2.10,-1.52,-262.35,-1.52,-262.35,1.00,99.00,99.00,
left turn real_002.trj,718.60,-4.23,-281.44,0.00,0.00,0.00,10.75,14.72,2.53,2.53,7.42,114.36,2:11,crossing,4.92,227.95,285,10004,1,4.21,2.00,154.65,7.15,7.42,-4.23,-281.44,-4.23,-281.44,320,10001,1,4.36,1.97,269.01,10.25,7.29,-3.50,-278.48,-3.50,-278.48,1.00,99.00,99.00,
left turn real_002.trj,722.40,-0.03,-265.99,0.00,0.00,0.00,5.73,2.84,2.37,2.37,1.53,-20.95,6:42,rear end,1.53,248.98,317,1,2,4.21,2.00,269.93,0.00,1.53,-0.03,-265.99,-0.03,-265.99,321,1,2,4.76,2.07,248.98,2.84,1.31,-1.15,-261.50,-1.15,-261.50,1.00,99.00,99.00,
left turn real_002.trj,729.00,-0.02,-253.03,0.00,0.00,0.00,11.14,11.04,0.26,0.26,5.52,-6.05,6:12,rear end,5.57,263.91,324,1,2,4.76,2.07,269.93,0.05,5.52,-0.02,-253.03,-0.02,-253.03,333,1,1,4.76,2.07,263.88,11.09,5.52,-1.96,-249.77,-1.96,-249.77,1.00,99.00,99.00,
left turn real_002.trj,731.80,-0.18,-283.63,0.00,0.00,0.00,11.87,17.34,0.26,0.26,8.67,138.03,1:24,crossing,4.09,237.25,312,10004,1,4.76,2.07,132.12,6.65,8.67,-0.18,-283.63,-0.18,-283.63,333,10001,1,4.76,2.07,270.15,11.82,8.67,-3.51,-281.84,-3.51,-281.84,1.00,99.00,99.00,
left turn real_002.trj,808.40,-3.53,-263.86,0.00,0.00,0.00,12.22,12.21,0.04,0.04,6.39,-12.41,6:25,rear end,5.81,257.52,361,1,1,4.64,2.00,269.93,0.00,5.81,-3.53,-263.86,-3.53,-263.86,365,10007,1,4.21,2.00,257.52,12.21,6.39,-4.59,-261.49,-4.59,-261.49,1.00,99.00,99.00,
left turn real_002.trj,817.20,4.86,-325.81,0.00,0.00,0.00,3.68,2.58,-3.40,-3.40,1.43,-14.99,6:30,rear end,1.30,76.61,362,5,2,4.64,2.00,90.60,0.16,1.15,4.86,-325.81,4.86,-325.81,364,5,2,3.75,1.99,75.61,2.74,1.43,6.24,-330.05,6.24,-330.05,1.00,99.00,99.00,
left turn real_002.trj,836.20,6.42,-347.91,0.00,0.00,0.00,5.61,4.16,0.00,0.00,2.18,13.10,5:34,rear end,1.99,77.50,372,5,2,4.61,1.95,77.50,4.16,2.18,6.42,-347.91,6.42,-347.91,373,5,2,4.76,2.07,90.60,0.00,1.99,5.04,-343.18,5.04,-343.18,1.00,99.00,99.00,
left turn real_002.trj,843.40,-0.21,-283.60,0.00,0.00,0.00,8.20,15.17,2.21,2.21,7.95,138.05,1:24,crossing,2.92,195.52,344,10004,1,4.64,2.00,132.18,8.05,7.23,-0.21,-283.60,-0.21,-283.60,359,10001,1,4.21,2.00,270.23,8.20,7.95,-3.50,-284.04,-3.50,-284.04,1.00,99.00,99.00,
left turn real_002.trj,848.40,-4.40,-281.47,0.00,0.00,0.00,11.02,15.21,1.80,1.80,8.66,115.08,2:10,crossing,4.69,217.53,348,8,2,4.76,2.07,155.09,7.23,6.55,-4.40,-281.47,-4.40,-281.47,369,10001,1,3.75,1.99,270.17,10.66,8.66,-3.52,-278.40,-3.52,-278.40,1.00,99.00,99.00,
